6.01E-04,0.00784
0.14812,0.00502
0.29711,0.00213
0.44567,-7.93E-04
0.59722,-0.00361
1.12637,-0.01347
1.27412,-0.0163
1.43128,-0.01911
1.58024,-0.02185
1.73032,-0.0246
1.88037,-0.02731
2.02896,-0.02999
2.1791,-0.03269
2.32738,-0.03537
2.476,-0.03804
2.62602,-0.04069
3.10391,0.01436
3.25141,0.78647
3.40617,0.83143
3.55258,0.83316
3.69965,0.83405
3.84664,0.83459
3.99308,0.83527
4.13971,0.83457
4.28727,0.82268
4.43588,0.53701
4.58279,0.17249
5.07139,0.0106
5.22012,0.00709
5.36816,0.00368
5.51331,3.59E-04
5.66179,-0.00318
5.81117,-0.00634
5.96144,-0.00964
6.11329,-0.01282
6.26274,-0.01593
6.41138,-0.01792
6.55905,-0.01506
7.06213,0.83461
7.21073,0.83487
7.36077,0.83508
7.50829,0.83527
7.65695,0.83409
7.80386,0.82015
7.94902,0.5278
8.09565,0.15586
8.24259,0.01793
8.38978,0.00642
8.5386,0.00385
8.68514,-9.32E-04
9.14754,-0.00498
9.295,-0.00765
9.44293,-0.01017
9.59185,-0.01252
9.74011,-0.01488
9.88783,-0.01702
10.04109,-0.01707
10.18971,-0.00337
10.33952,0.3349
10.48931,0.82842
10.63858,0.83521
11.15411,0.83527
11.30192,0.83441
11.45095,0.82153
11.59895,0.58854
11.74412,0.17843
11.89137,0.01701
12.03773,9.33E-04
12.18487,0.00138
12.3303,5.99E-04
12.47743,1.16E-04
12.6251,-0.00161
13.07356,-0.00899
13.22058,-0.0114
13.3693,-0.01341
13.51974,-0.01533
13.66645,-0.01619
13.81565,-0.0127
13.96454,0.03241
14.11418,0.79973
14.26357,0.83437
14.41456,0.83527
14.56209,0.83509
15.08135,0.81694
15.22926,0.49892
15.37683,0.13722
15.52218,0.00391
15.67105,-0.00265
15.81915,-0.00203
15.96641,-0.0018
16.11456,-0.00235
16.26109,-0.00345
16.40693,-0.00494
16.55512,-0.00673
17.03591,-0.01241
17.18123,-0.01434
17.32796,-0.01553
17.47482,-0.01429
17.62212,0.00591
17.77089,0.51611
17.91817,0.83118
18.0646,0.83527
18.21299,0.83497
18.35978,0.83466
18.50754,0.83479
18.65527,0.39115
19.1155,0.09519
19.26106,-0.0059
19.40764,-0.00805
19.55399,-0.0073
19.70426,-0.0073
19.85051,-0.00737
19.99685,-0.00826
20.1446,-0.00947
20.29276,-0.01058
20.44091,-0.01221
20.58863,-0.01349
21.06132,-0.015
21.20831,0.00178
21.35597,0.34635
21.50207,0.82837
21.64882,0.83527
21.79716,0.83512
21.9437,0.83467
22.09181,0.83476
22.23984,0.83496
22.38823,0.83162
22.53411,0.79706
22.68187,-0.00734
23.17696,-0.00627
23.33018,-0.00576
23.47983,-0.00618
23.62622,-0.00693
23.77425,-0.00748
23.92157,-0.00848
24.06902,-0.00972
24.21767,-0.01115
24.3638,-0.01258
24.50926,-0.01386
24.65864,-0.01462
25.1327,0.7445
25.27818,0.83295
25.42271,0.83527
25.56966,0.83524
25.71797,0.8351
25.86469,0.83469
26.00975,0.82499
26.15762,0.65682
26.3046,0.19191
26.45309,0.00891
26.60145,-0.0095
27.07721,-0.00707
27.22431,-0.0078
27.37191,-0.00868
27.51989,-0.00962
27.66781,-0.01064
27.81385,-0.01164
27.9606,-0.01276
28.10914,-0.01387
28.26039,-0.01433
28.40964,-0.01342
28.55678,0.00187
28.70488,0.83516
29.18532,0.83527
29.3329,0.83499
29.4803,0.83508
29.62906,0.83254
29.77727,0.80835
29.92766,0.39583
30.07355,0.0894
30.2221,-0.00554
30.37054,-0.00842
30.51709,-0.00653
30.66418,-0.0062
31.15141,-0.00886
31.29796,-0.00998
31.44552,-0.01123
31.5931,-0.0124
31.73877,-0.01368
31.88518,-0.01415
32.0337,-0.01231
32.18048,0.01048
32.32793,0.55996
32.47466,0.83115
32.62162,0.83522
33.09785,0.83527
33.24542,0.83362
33.39301,0.81512
33.54082,0.49148
33.68954,0.11582
33.83735,-0.00452
33.98668,-0.00634
34.13856,-0.00506
34.28706,-0.00522
34.43642,-0.00553
34.58706,-0.00665
35.08004,-0.01075
35.22952,-0.01202
35.37833,-0.01324
35.52953,-0.01406
35.68082,-0.01273
35.82948,0.00524
35.9777,0.34772
36.12561,0.82864
36.27684,0.83527
36.42712,0.83526
36.57901,0.83486
37.06866,0.78941
37.21554,0.29304
37.36194,0.05617
37.50948,-0.00506
37.65628,-0.00489
37.80456,-0.00325
37.95201,-0.00416
