"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"199","35.378325","0.06698322"
"200","35.5295259","0.06627309"
"201","35.6808159","0.06762219"
"202","35.8294811","0.08481402"
"203","35.9777033","0.4109924"
"204","36.1256127","0.8688371"
"205","36.2768396","0.8750815"
"206","36.4271224","0.8749718"
"207","36.5790105","0.8744787"
"208","37.0686623","0.830923"
"209","37.2155398","0.3590777"
"210","37.3619403","0.1340245"
"211","37.5094845","0.07593425"
"212","37.6562802","0.07617322"
"213","37.8045608","0.07780889"
"214","37.9520089","0.07702673"
"215","38.1003216","0.07629424"
"216","38.2488351","0.07513539"
"217","38.3947805","0.07410704"
"218","38.5419232","0.07292584"
"219","38.6894084","0.06923291"
"220","39.1610367","0.06833813"
"221","39.307383","0.06853822"
"222","39.4522343","0.073792"
"223","39.5986006","0.1120323"
"224","39.7461443","0.8419835"
"225","39.8934326","0.8721529"
"226","40.0401059","0.8726386"
"227","40.1872433","0.8725563"
"228","40.335772","0.8723075"
"229","40.4817569","0.8721745"
"230","40.628475","0.8640603"
"231","41.1191011","0.07878532"
"232","41.2694282","0.07632183"
"233","41.4161532","0.07809043"
"234","41.5630235","0.07810454"
"235","41.7099715","0.07764661"
"236","41.8581843","0.07693451"
"237","42.006979","0.07569088"
"238","42.1604398","0.07442375"
"239","42.3077912","0.07336566"
"240","42.4552898","0.07227457"
"241","42.6027853","0.07109331"
"242","43.0678133","0.07197876"
"243","43.2159009","0.09943657"
"244","43.3645871","0.738764"
"245","43.5107539","0.867866"
"246","43.6579089","0.8707361"
"247","43.8067012","0.8707391"
"248","43.9549809","0.8703763"
"249","44.1024283","0.870375"
"250","44.2509902","0.8695121"
"251","44.396127","0.8562741"
"252","44.5415989","0.6636952"
"253","44.6885228","0.07370769"
"254","45.1520787","0.07571527"
"255","45.2982275","0.07717019"
"256","45.4449359","0.07761338"
"257","45.5923325","0.07674922"
"258","45.7404212","0.0750388"
"259","45.8899489","0.07372078"
"260","46.0370793","0.07269114"
"261","46.1852731","0.07153352"
"262","46.3326385","0.07039291"
"263","46.4830046","0.06938067"
"264","46.6341149","0.06949966"
"265","47.1534183","0.8593627"
"266","47.3015117","0.8688997"
"267","47.4477006","0.8690175"
"268","47.5937932","0.8685035"
"269","47.7411153","0.8684442"
"270","47.8884897","0.8673374"
"271","48.0360956","0.852334"
"272","48.1825937","0.6303973"
"273","48.3302349","0.2096515"
"274","48.4780165","0.07876261"
"275","48.6256446","0.07302934"
"276","49.1185358","0.07850872"
"277","49.2662471","0.07798845"
"278","49.4144429","0.07698359"
"279","49.5603902","0.07612559"
"280","49.7091592","0.0747174"
"281","49.8588659","0.07351196"
"282","50.0060806","0.07231445"
"283","50.1523547","0.07112978"
"284","50.298456","0.07024375"
"285","50.4435524","0.07107615"
"286","50.5902851","0.08194722"
"287","51.0546333","0.8670097"
"288","51.2004825","0.8669386"
"289","51.3472242","0.8664198"
"290","51.4984575","0.8663653"
"291","51.6475505","0.8636558"
"292","51.7965193","0.8375599"
"293","51.9449274","0.4367886"
"294","52.0914868","0.1408052"
"295","52.2391219","0.07198294"
"296","52.3872826","0.07412791"
"297","52.5354675","0.07721168"
"298","52.6823408","0.07798847"
"299","53.1520057","0.07671251"
"300","53.3003352","0.07560259"
"301","53.4508815","0.07454495"
"302","53.6001663","0.07325016"
"303","53.7514041","0.07214408"
"304","53.9027925","0.07144646"
"305","54.0529984","0.07239135"
"306","54.2028718","0.08737026"
"307","54.351209","0.2645028"
"308","54.5000404","0.8533802"
"309","54.6500697","0.8652828"
"310","55.1641965","0.8648382"
"311","55.3101725","0.864768"
"312","55.4611288","0.8548568"
"313","55.6103146","0.6983773"
"314","55.7627959","0.2362103"
"315","55.9123574","0.08204191"
"316","56.0620706","0.07458302"
"317","56.2109943","0.07848891"
"318","56.3612794","0.07970692"
"319","56.5086523","0.07985846"
"320","56.65628","0.07953654"
"321","57.1290147","0.07625052"
"322","57.2755666","0.07513797"
"323","57.4220173","0.07406816"
"324","57.5710565","0.0729735"
"325","57.7185139","0.07270704"
"326","57.865668","0.07523967"
"327","58.0110686","0.1037459"
"328","58.1587176","0.7232767"
"329","58.3065513","0.8603475"
"330","58.4535298","0.8634663"
"331","58.6044135","0.8637249"
"332","59.1319081","0.8339223"
"333","59.2820925","0.4276294"
"334","59.4300197","0.1395334"
"335","59.5814881","0.07120098"
"336","59.731045","0.07367557"
"337","59.8790301","0.07709613"
"338","60.0260884","0.07843164"
"339","60.1770826","0.07856219"
"340","60.33013","0.07771061"
"341","60.4789531","0.07686158"
"342","60.6277198","0.07590331"
"343","61.1388572","0.07234263"
"344","61.2888914","0.07143578"
"345","61.4371377","0.07182992"
"346","61.5871452","0.07841178"
"347","61.7341883","0.1127845"
"348","61.8803498","0.8359411"
"349","62.0268147","0.8617545"
"350","62.1735396","0.86212"
"351","62.3217792","0.8618534"
"352","62.4670616","0.8616334"
"353","62.6142483","0.861289"
"354","63.0886356","0.1840176"
"355","63.2414971","0.07249883"
"356","63.3905412","0.07231997"
"357","63.5393425","0.07642639"
"358","63.6889526","0.07773611"
"359","63.8378581","0.07775607"
"360","63.9848944","0.07710767"
"361","64.1325067","0.07667118"
"362","64.280106","0.07544262"
"363","64.4288697","0.07447711"
"364","64.5784481","0.07346911"
"365","65.056195","0.0708479"
"366","65.2036432","0.07217351"
"367","65.3508543","0.08972278"
"368","65.4970606","0.3615097"
"369","65.6447227","0.8520529"
"370","65.7914437","0.8604013"
"371","65.9386505","0.8606549"
"372","66.0881063","0.8601024"
"373","66.2399746","0.8600224"
"374","66.3912496","0.8550146"
"375","66.5413329","0.7988119"
"376","66.6884873","0.07060127"
"377","67.1898577","0.07537775"
"378","67.3386271","0.0780425"
"379","67.485803","0.07819065"
"380","67.6344091","0.07760178"
